Soil Type,Recommended Crops & Seeds
"Sandy, Clay","Millets (Kambu/Bajra), Groundnut, Cashew"
"Black, Red","Cotton, Turmeric, Maize, Sugarcane"
"Red, Loamy","Chillies, Onion, Millets, Pulses (Toor Dal)"
Clay (Alluvial),"Paddy (IR-64, Ponni), Banana (G9), Sugarcane"
"Black, Clay","Rice (Ponni), Banana, Tapioca"
"Red, Loamy","Mango (Alphonso), Tomato, Turmeric"
"Loamy, Laterite","Tea (Assam variety), Carrot, Potato"
"Black, Red","Turmeric (Erode variety), Cotton, Oilseeds"
"Red, Loamy","Grapes (Thompson), Tomato, Garlic"
"Red, Loamy","Mango (Banganapalli), Tomato, Maize"
"Red, Loamy","Banana (G9), Sugarcane, Cotton"
"Sandy, Saline","Pearl Millet, Pulses, Salt-tolerant Paddy"
"Sandy, Saline","Pearl Millet (Bajra), Groundnut, Coconut"
"Red, Black","Chillies (Guntur), Cotton, Groundnut"
"Black, Clay","Sugarcane, Paddy, Pulses"
"Red, Loamy","Cardamom, Pepper, Tapioca"
